make,fuel-type,body-style, curb-weight,num-cylinders,engine-size,horsepower,city-mpg,highway-mpg,price
nissan,gas,sedan,1889.00,four,97.00,69.00,31.00,37.00,5499.00
nissan,diesel,sedan,2017.00,four,103.00,55.00,45.00,50.00,7099.00
nissan,gas,sedan,1918.00,four,97.00,69.00,31.00,37.00,6649.00
nissan,gas,sedan,1938.00,four,97.00,69.00,31.00,37.00,6849.00
nissan,gas,wagon,2024.00,four,97.00,69.00,31.00,37.00,7349.00
nissan,gas,sedan,1951.00,four,97.00,69.00,31.00,37.00,7299.00
nissan,gas,hatchback,2028.00,four,97.00,69.00,31.00,37.00,7799.00
nissan,gas,sedan,1971.00,four,97.00,69.00,31.00,37.00,7499.00
nissan,gas,wagon,2037.00,four,97.00,69.00,31.00,37.00,7999.00
nissan,gas,hardtop,2008.00,four,97.00,69.00,31.00,37.00,8249.00
nissan,gas,hatchback,2324.00,four,120.00,97.00,27.00,34.00,8949.00
nissan,gas,sedan,2302.00,four,120.00,97.00,27.00,34.00,9549.00
nissan,gas,sedan,3095.00,six,181.00,152.00,17.00,22.00,13499.00
nissan,gas,wagon,3296.00,six,181.00,152.00,17.00,22.00,14399.00
nissan,gas,sedan,3060.00,six,181.00,152.00,19.00,25.00,13499.00
nissan,gas,hatchback,3071.00,six,181.00,160.00,19.00,25.00,17199.00
nissan,gas,hatchback,3139.00,six,181.00,200.00,17.00,23.00,19699.00
nissan,gas,hatchback,3139.00,six,181.00,160.00,19.00,25.00,18399.00
peugot,gas,sedan,3020.00,four,120.00,97.00,19.00,24.00,11900.00
peugot,diesel,sedan,3197.00,four,152.00,95.00,28.00,33.00,13200.00
peugot,gas,wagon,3230.00,four,120.00,97.00,19.00,24.00,12440.00
peugot,diesel,wagon,3430.00,four,152.00,95.00,25.00,25.00,13860.00
peugot,gas,sedan,3075.00,four,120.00,95.00,19.00,24.00,15580.00
peugot,diesel,sedan,3252.00,four,152.00,95.00,28.00,33.00,16900.00
peugot,gas,wagon,3285.00,four,120.00,95.00,19.00,24.00,16695.00
peugot,diesel,wagon,3485.00,four,152.00,95.00,25.00,25.00,17075.00
peugot,gas,sedan,3075.00,four,120.00,97.00,19.00,24.00,16630.00
peugot,diesel,sedan,3252.00,four,152.00,95.00,28.00,33.00,17950.00
peugot,gas,sedan,3130.00,four,134.00,142.00,18.00,24.00,18150.00
plymouth,gas,hatchback,1918.00,four,90.00,68.00,37.00,41.00,5572.00
plymouth,gas,hatchback,2128.00,four,98.00,102.00,24.00,30.00,7957.00
plymouth,gas,hatchback,1967.00,four,90.00,68.00,31.00,38.00,6229.00
plymouth,gas,sedan,1989.00,four,90.00,68.00,31.00,38.00,6692.00
plymouth,gas,sedan,2191.00,four,98.00,68.00,31.00,38.00,7609.00
plymouth,gas,wagon,2535.00,four,122.00,88.00,24.00,30.00,8921.00
plymouth,gas,hatchback,2818.00,four,156.00,145.00,19.00,24.00,12764.00
porsche,gas,hatchback,2778.00,four,151.00,143.00,19.00,27.00,22018.00
porsche,gas,hardtop,2756.00,six,194.00,207.00,17.00,25.00,32528.00
porsche,gas,hardtop,2756.00,six,194.00,207.00,17.00,25.00,34028.00
porsche,gas,convertible,2800.00,six,194.00,207.00,17.00,25.00,37028.00
saab,gas,hatchback,2658.00,four,121.00,110.00,21.00,28.00,11850.00
saab,gas,sedan,2695.00,four,121.00,110.00,21.00,28.00,12170.00
saab,gas,hatchback,2707.00,four,121.00,110.00,21.00,28.00,15040.00
saab,gas,sedan,2758.00,four,121.00,110.00,21.00,28.00,15510.00
saab,gas,hatchback,2808.00,four,121.00,160.00,19.00,26.00,18150.00
saab,gas,sedan,2847.00,four,121.00,160.00,19.00,26.00,18620.00
subaru,gas,hatchback,2050.00,four,97.00,69.00,31.00,36.00,5118.00
subaru,gas,hatchback,2120.00,four,108.00,73.00,26.00,31.00,7053.00
subaru,gas,hatchback,2240.00,four,108.00,73.00,26.00,31.00,7603.00
subaru,gas,sedan,2145.00,four,108.00,82.00,32.00,37.00,7126.00
subaru,gas,sedan,2190.00,four,108.00,82.00,28.00,33.00,7775.00
subaru,gas,sedan,2340.00,four,108.00,94.00,26.00,32.00,9960.00
subaru,gas,sedan,2385.00,four,108.00,82.00,24.00,25.00,9233.00
subaru,gas,sedan,2510.00,four,108.00,111.00,24.00,29.00,11259.00
subaru,gas,wagon,2290.00,four,108.00,82.00,28.00,32.00,7463.00
subaru,gas,wagon,2455.00,four,108.00,94.00,25.00,31.00,10198.00
subaru,gas,wagon,2420.00,four,108.00,82.00,23.00,29.00,8013.00
subaru,gas,wagon,2650.00,four,108.00,111.00,23.00,23.00,11694.00
toyota,gas,hatchback,1985.00,four,92.00,62.00,35.00,39.00,5348.00
toyota,gas,hatchback,2040.00,four,92.00,62.00,31.00,38.00,6338.00
toyota,gas,hatchback,2015.00,four,92.00,62.00,31.00,38.00,6488.00
toyota,gas,wagon,2280.00,four,92.00,62.00,31.00,37.00,6918.00
toyota,gas,wagon,2290.00,four,92.00,62.00,27.00,32.00,7898.00
toyota,gas,wagon,3110.00,four,92.00,62.00,27.00,32.00,8778.00
toyota,gas,sedan,2081.00,four,98.00,70.00,30.00,37.00,6938.00
toyota,gas,hatchback,2109.00,four,98.00,70.00,30.00,37.00,7198.00
toyota,diesel,sedan,2275.00,four,110.00,56.00,34.00,36.00,7898.00
toyota,diesel,hatchback,2275.00,four,110.00,56.00,38.00,47.00,7788.00
toyota,gas,sedan,2094.00,four,98.00,70.00,38.00,47.00,7738.00
toyota,gas,hatchback,2122.00,four,98.00,70.00,28.00,34.00,8358.00
toyota,gas,sedan,2140.00,four,98.00,70.00,28.00,34.00,9258.00
toyota,gas,sedan,2169.00,four,98.00,70.00,29.00,34.00,8058.00
toyota,gas,hatchback,2204.00,four,98.00,70.00,29.00,34.00,8238.00
toyota,gas,sedan,2265.00,four,98.00,112.00,26.00,29.00,9298.00
toyota,gas,hatchback,2300.00,four,98.00,112.00,26.00,29.00,9538.00
toyota,gas,hardtop,2540.00,four,146.00,116.00,24.00,30.00,8449.00
toyota,gas,hardtop,2536.00,four,146.00,116.00,24.00,30.00,9639.00
toyota,gas,hatchback,2551.00,four,146.00,116.00,24.00,30.00,9989.00
toyota,gas,hardtop,2679.00,four,146.00,116.00,24.00,30.00,11199.00
toyota,gas,hatchback,2714.00,four,146.00,116.00,24.00,30.00,11549.00
toyota,gas,convertible,2975.00,four,146.00,116.00,24.00,30.00,17669.00
toyota,gas,sedan,2326.00,four,122.00,92.00,29.00,34.00,8948.00
toyota,diesel,sedan,2480.00,four,110.00,73.00,30.00,33.00,10698.00
toyota,gas,hatchback,2414.00,four,122.00,92.00,27.00,32.00,9988.00
toyota,gas,sedan,2414.00,four,122.00,92.00,27.00,32.00,10898.00
toyota,gas,hatchback,2458.00,four,122.00,92.00,27.00,32.00,11248.00
toyota,gas,hatchback,2976.00,six,171.00,161.00,20.00,24.00,16558.00
toyota,gas,hatchback,3016.00,six,171.00,161.00,19.00,24.00,15998.00
toyota,gas,sedan,3131.00,six,171.00,156.00,20.00,24.00,15690.00
toyota,gas,wagon,3151.00,six,161.00,156.00,19.00,24.00,15750.00
volkswagen,diesel,sedan,2261.00,four,97.00,52.00,37.00,46.00,7775.00
volkswagen,gas,sedan,2209.00,four,109.00,85.00,27.00,34.00,7975.00
volkswagen,diesel,sedan,2264.00,four,97.00,52.00,37.00,46.00,7995.00
volkswagen,gas,sedan,2212.00,four,109.00,85.00,27.00,34.00,8195.00
volkswagen,gas,sedan,2275.00,four,109.00,85.00,27.00,34.00,8495.00
volkswagen,diesel,sedan,2319.00,four,97.00,68.00,37.00,42.00,9495.00
volkswagen,gas,sedan,2300.00,four,109.00,100.00,26.00,32.00,9995.00
volkswagen,gas,convertible,2254.00,four,109.00,90.00,24.00,29.00,11595.00
volkswagen,gas,hatchback,2221.00,four,109.00,90.00,24.00,29.00,9980.00
volkswagen,gas,sedan,2661.00,five,136.00,110.00,19.00,24.00,13295.00
volkswagen,diesel,sedan,2579.00,four,97.00,68.00,33.00,38.00,13845.00
volkswagen,gas,wagon,2563.00,four,109.00,88.00,25.00,31.00,12290.00
volvo,gas,sedan,2912.00,four,141.00,114.00,23.00,28.00,12940.00
volvo,gas,wagon,3034.00,four,141.00,114.00,23.00,28.00,13415.00
volvo,gas,sedan,2935.00,four,141.00,114.00,24.00,28.00,15985.00
volvo,gas,wagon,3042.00,four,141.00,114.00,24.00,28.00,16515.00
volvo,gas,sedan,3045.00,four,130.00,162.00,17.00,22.00,18420.00
volvo,gas,wagon,3157.00,four,130.00,162.00,17.00,22.00,18950.00
volvo,gas,sedan,2952.00,four,141.00,114.00,23.00,28.00,16845.00
volvo,gas,sedan,3049.00,four,141.00,160.00,19.00,25.00,19045.00
volvo,gas,sedan,3012.00,six,173.00,134.00,18.00,23.00,21485.00
volvo,diesel,sedan,3217.00,six,145.00,106.00,26.00,27.00,22470.00
volvo,gas,sedan,3062.00,four,141.00,114.00,19.00,25.00,22625.00
